Date,Company,Role,Link,Status,Match Score
2026-06-10 00:15:48,GE VERNOVA,Micom Database Engineer,https://www.naukri.com/job-listings-micom-database-engineer-ge-renewable-energy-technologies-private-limited-hyderabad-1-to-6-years-090626920816,skipped_low_match_41.6,41.6
2026-06-10 00:15:48,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-2-years-080626926236,skipped_low_match_55.0,55.0
2026-06-10 00:15:48,Jaggaer,"Developer, Agentic AI",https://www.naukri.com/job-listings-developer-agentic-ai-jaggaer-hyderabad-1-to-3-years-090626502650,skipped_low_match_49.6,49.6
2026-06-10 00:15:48,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-4-years-080626924731,skipped_low_match_60.5,60.5
2026-06-10 00:15:48,Accenture,Custom Software Engineer,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-hyderabad-1-to-2-years-080626927048,skipped_low_match_55.0,55.0
2026-06-10 00:15:48,Moxie Systems Inc,URBN - Java and_AI Professional,https://www.naukri.com/job-listings-urbn-java-and-ai-professional-moxie-systems-inc-hyderabad-0-to-2-years-080626503133,skipped_low_match_0.0,0.0
2026-06-10 00:16:03,Allyted solutions,Java Full Stack Developer,https://www.naukri.com/job-listings-java-full-stack-developer-allyted-solutions-bengaluru-0-to-2-years-090626012744,skipped_low_match_0.0,0.0
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626927654,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Brightpath Technology & Services,Fresher AI Developer,https://www.naukri.com/job-listings-fresher-ai-developer-brightpath-technology-services-bangalore-bengaluru-0-to-2-years-070626000801,skipped_low_match_46.2,46.2
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626930412,skipped_low_match_58.2,58.2
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626930552,skipped_low_match_62.1,62.1
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626930551,skipped_low_match_60.5,60.5
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626929376,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626929307,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626927439,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626928884,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626930554,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626930431,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626931925,skipped_low_match_62.1,62.1
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626927857,skipped_low_match_56.6,56.6
2026-06-10 00:16:03,Accenture,Software Development Engineer,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-bengaluru-1-to-4-years-080626931337,skipped_low_match_60.5,60.5
2026-06-10 00:16:32,Vasundhara Infotech,MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-vasundhara-vision-surat-0-to-5-years-120925502436,skipped_low_match_41.6,41.6
2026-06-10 00:16:32,Sangvish Technologies,Mern Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-sangvish-technologies-madurai-1-to-5-years-120525504476,skipped_low_match_43.2,43.2
